date,province,salinity_ppt,salinity_daily,ph
2024-01-01,Bac Lieu,4.14,4.14,
2024-01-01,Ben Tre,3.36,3.36,
2024-01-01,Ca Mau,4.81,4.81,
2024-01-01,Kien Giang,3.24,3.24,
2024-01-01,Soc Trang,3.77,3.77,
2024-01-02,Bac Lieu,4.34,4.34,
2024-01-02,Ben Tre,3.56,3.56,
2024-01-02,Ca Mau,4.83,4.83,
2024-01-02,Kien Giang,2.84,2.84,
2024-01-02,Soc Trang,3.88,3.88,
2024-01-03,Bac Lieu,4.59,4.59,
2024-01-03,Ben Tre,3.85,3.85,
2024-01-03,Ca Mau,4.59,4.59,
2024-01-03,Kien Giang,3.47,3.47,
2024-01-03,Soc Trang,3.97,3.97,
2024-01-04,Bac Lieu,4.52,4.52,
2024-01-04,Ben Tre,4.07,4.07,
2024-01-04,Ca Mau,4.78,4.78,
2024-01-04,Kien Giang,3.38,3.38,
2024-01-04,Soc Trang,4.09,4.09,
2024-01-05,Bac Lieu,4.68,4.68,
2024-01-05,Ben Tre,4.0,4.0,
2024-01-05,Ca Mau,5.52,5.52,
2024-01-05,Kien Giang,3.49,3.49,
2024-01-05,Soc Trang,4.37,4.37,
2024-01-06,Bac Lieu,4.9,4.9,
2024-01-06,Ben Tre,3.72,3.72,
2024-01-06,Ca Mau,5.14,5.14,
2024-01-06,Kien Giang,3.72,3.72,
2024-01-06,Soc Trang,4.0,4.0,
2024-01-07,Bac Lieu,4.88,4.88,
2024-01-07,Ben Tre,4.2,4.2,
2024-01-07,Ca Mau,5.4,5.4,
2024-01-07,Kien Giang,3.61,3.61,
2024-01-07,Soc Trang,3.99,3.99,
2024-01-08,Bac Lieu,4.87,4.87,
2024-01-08,Ben Tre,3.93,3.93,
2024-01-08,Ca Mau,5.61,5.61,
2024-01-08,Kien Giang,3.34,3.34,
2024-01-08,Soc Trang,3.83,3.83,
2024-01-09,Bac Lieu,4.99,4.99,
2024-01-09,Ben Tre,4.68,4.68,
2024-01-09,Ca Mau,5.21,5.21,
2024-01-09,Kien Giang,3.64,3.64,
2024-01-09,Soc Trang,4.75,4.75,
2024-01-10,Bac Lieu,5.14,5.14,
2024-01-10,Ben Tre,4.12,4.12,
2024-01-10,Ca Mau,5.18,5.18,
2024-01-10,Kien Giang,3.9,3.9,
2024-01-10,Soc Trang,4.59,4.59,
2024-01-11,Bac Lieu,4.87,4.87,
2024-01-11,Ben Tre,4.06,4.06,
2024-01-11,Ca Mau,5.45,5.45,
2024-01-11,Kien Giang,3.9,3.9,
2024-01-11,Soc Trang,4.6,4.6,
2024-01-12,Bac Lieu,5.27,5.27,
2024-01-12,Ben Tre,4.14,4.14,
2024-01-12,Ca Mau,5.33,5.33,
2024-01-12,Kien Giang,3.76,3.76,
2024-01-12,Soc Trang,4.55,4.55,
2024-01-13,Bac Lieu,5.07,5.07,
2024-01-13,Ben Tre,4.73,4.73,
2024-01-13,Ca Mau,6.06,6.06,
2024-01-13,Kien Giang,3.71,3.71,
2024-01-13,Soc Trang,4.6,4.6,
2024-01-14,Bac Lieu,4.64,4.64,
2024-01-14,Ben Tre,4.15,4.15,
2024-01-14,Ca Mau,5.54,5.54,
2024-01-14,Kien Giang,4.14,4.14,
2024-01-14,Soc Trang,4.82,4.82,
2024-01-15,Bac Lieu,5.56,5.56,
2024-01-15,Ben Tre,4.03,4.03,
2024-01-15,Ca Mau,5.47,5.47,
2024-01-15,Kien Giang,3.61,3.61,
2024-01-15,Soc Trang,4.56,4.56,
2024-01-16,Bac Lieu,5.28,5.28,
2024-01-16,Ben Tre,4.25,4.25,
2024-01-16,Ca Mau,5.38,5.38,
2024-01-16,Kien Giang,4.33,4.33,
2024-01-16,Soc Trang,4.4,4.4,
2024-01-17,Bac Lieu,5.18,5.18,
2024-01-17,Ben Tre,4.62,4.62,
2024-01-17,Ca Mau,5.92,5.92,
2024-01-17,Kien Giang,3.54,3.54,
2024-01-17,Soc Trang,4.63,4.63,
2024-01-18,Bac Lieu,5.43,5.43,
2024-01-18,Ben Tre,4.46,4.46,
2024-01-18,Ca Mau,5.93,5.93,
2024-01-18,Kien Giang,4.25,4.25,
2024-01-18,Soc Trang,4.58,4.58,
2024-01-19,Bac Lieu,5.11,5.11,
2024-01-19,Ben Tre,5.22,5.22,
2024-01-19,Ca Mau,6.02,6.02,
2024-01-19,Kien Giang,3.94,3.94,
2024-01-19,Soc Trang,5.1,5.1,
2024-01-20,Bac Lieu,5.39,5.39,
2024-01-20,Ben Tre,4.59,4.59,
2024-01-20,Ca Mau,6.12,6.12,
2024-01-20,Kien Giang,3.86,3.86,
2024-01-20,Soc Trang,5.31,5.31,
2024-01-21,Bac Lieu,5.44,5.44,
2024-01-21,Ben Tre,4.71,4.71,
2024-01-21,Ca Mau,6.2,6.2,
2024-01-21,Kien Giang,4.19,4.19,
2024-01-21,Soc Trang,4.84,4.84,
2024-01-22,Bac Lieu,5.25,5.25,
2024-01-22,Ben Tre,4.71,4.71,
2024-01-22,Ca Mau,6.21,6.21,
2024-01-22,Kien Giang,3.91,3.91,
2024-01-22,Soc Trang,4.7,4.7,
2024-01-23,Bac Lieu,5.87,5.87,
2024-01-23,Ben Tre,4.82,4.82,
2024-01-23,Ca Mau,5.84,5.84,
2024-01-23,Kien Giang,4.17,4.17,
2024-01-23,Soc Trang,5.31,5.31,
2024-01-24,Bac Lieu,5.82,5.82,
2024-01-24,Ben Tre,4.75,4.75,
2024-01-24,Ca Mau,6.37,6.37,
2024-01-24,Kien Giang,4.1,4.1,
2024-01-24,Soc Trang,4.92,4.92,
2024-01-25,Bac Lieu,5.72,5.72,
2024-01-25,Ben Tre,5.17,5.17,
2024-01-25,Ca Mau,6.33,6.33,
2024-01-25,Kien Giang,3.86,3.86,
2024-01-25,Soc Trang,4.87,4.87,
2024-01-26,Bac Lieu,5.74,5.74,
2024-01-26,Ben Tre,4.83,4.83,
2024-01-26,Ca Mau,6.17,6.17,
2024-01-26,Kien Giang,4.18,4.18,
2024-01-26,Soc Trang,5.54,5.54,
2024-01-27,Bac Lieu,5.7,5.7,
2024-01-27,Ben Tre,4.58,4.58,
2024-01-27,Ca Mau,6.43,6.43,
2024-01-27,Kien Giang,4.64,4.64,
2024-01-27,Soc Trang,5.26,5.26,
2024-01-28,Bac Lieu,5.93,5.93,
2024-01-28,Ben Tre,4.97,4.97,
2024-01-28,Ca Mau,6.39,6.39,
2024-01-28,Kien Giang,4.52,4.52,
2024-01-28,Soc Trang,5.38,5.38,
2024-01-29,Bac Lieu,6.34,6.34,
2024-01-29,Ben Tre,5.05,5.05,
2024-01-29,Ca Mau,6.44,6.44,
2024-01-29,Kien Giang,4.45,4.45,
2024-01-29,Soc Trang,5.15,5.15,
2024-01-30,Bac Lieu,5.74,5.74,
2024-01-30,Ben Tre,4.86,4.86,
2024-01-30,Ca Mau,6.7,6.7,
2024-01-30,Kien Giang,4.12,4.12,
2024-01-30,Soc Trang,5.44,5.44,
2024-01-31,Bac Lieu,6.09,6.09,
2024-01-31,Ben Tre,5.28,5.28,
2024-01-31,Ca Mau,6.6,6.6,
2024-01-31,Kien Giang,4.17,4.17,
2024-01-31,Soc Trang,5.11,5.11,
2024-02-01,Bac Lieu,5.92,5.92,
2024-02-01,Ben Tre,5.48,5.48,
2024-02-01,Ca Mau,6.54,6.54,
2024-02-01,Kien Giang,4.62,4.62,
2024-02-01,Soc Trang,5.49,5.49,
2024-02-02,Bac Lieu,5.31,5.31,
2024-02-02,Ben Tre,5.11,5.11,
2024-02-02,Ca Mau,6.5,6.5,
2024-02-02,Kien Giang,4.86,4.86,
2024-02-02,Soc Trang,5.41,5.41,
2024-02-03,Bac Lieu,6.24,6.24,
2024-02-03,Ben Tre,5.23,5.23,
2024-02-03,Ca Mau,6.51,6.51,
2024-02-03,Kien Giang,4.46,4.46,
2024-02-03,Soc Trang,5.51,5.51,
2024-02-04,Bac Lieu,5.8,5.8,
2024-02-04,Ben Tre,5.12,5.12,
2024-02-04,Ca Mau,6.87,6.87,
2024-02-04,Kien Giang,4.69,4.69,
2024-02-04,Soc Trang,5.76,5.76,
2024-02-05,Bac Lieu,5.5,5.5,
2024-02-05,Ben Tre,5.81,5.81,
2024-02-05,Ca Mau,6.55,6.55,
2024-02-05,Kien Giang,4.99,4.99,
2024-02-05,Soc Trang,5.18,5.18,
2024-02-06,Bac Lieu,6.23,6.23,
2024-02-06,Ben Tre,5.26,5.26,
2024-02-06,Ca Mau,6.6,6.6,
2024-02-06,Kien Giang,4.34,4.34,
2024-02-06,Soc Trang,5.67,5.67,
2024-02-07,Bac Lieu,6.04,6.04,
2024-02-07,Ben Tre,5.66,5.66,
2024-02-07,Ca Mau,6.65,6.65,
2024-02-07,Kien Giang,4.47,4.47,
2024-02-07,Soc Trang,5.64,5.64,
2024-02-08,Bac Lieu,6.2,6.2,
2024-02-08,Ben Tre,5.09,5.09,
2024-02-08,Ca Mau,6.75,6.75,
2024-02-08,Kien Giang,4.46,4.46,
2024-02-08,Soc Trang,5.9,5.9,
2024-02-09,Bac Lieu,6.23,6.23,
2024-02-09,Ben Tre,5.23,5.23,
2024-02-09,Ca Mau,6.87,6.87,
2024-02-09,Kien Giang,4.71,4.71,
2024-02-09,Soc Trang,5.28,5.28,
2024-02-10,Bac Lieu,5.77,5.77,
2024-02-10,Ben Tre,5.27,5.27,
2024-02-10,Ca Mau,6.81,6.81,
2024-02-10,Kien Giang,4.9,4.9,
2024-02-10,Soc Trang,5.65,5.65,
2024-02-11,Bac Lieu,6.28,6.28,
2024-02-11,Ben Tre,5.3,5.3,
2024-02-11,Ca Mau,7.28,7.28,
2024-02-11,Kien Giang,4.08,4.08,
2024-02-11,Soc Trang,5.21,5.21,
2024-02-12,Bac Lieu,6.34,6.34,
2024-02-12,Ben Tre,5.1,5.1,
2024-02-12,Ca Mau,6.75,6.75,
2024-02-12,Kien Giang,5.19,5.19,
2024-02-12,Soc Trang,5.69,5.69,
2024-02-13,Bac Lieu,6.28,6.28,
2024-02-13,Ben Tre,5.24,5.24,
2024-02-13,Ca Mau,7.13,7.13,
2024-02-13,Kien Giang,4.59,4.59,
2024-02-13,Soc Trang,5.82,5.82,
2024-02-14,Bac Lieu,6.52,6.52,
2024-02-14,Ben Tre,5.1,5.1,
2024-02-14,Ca Mau,6.99,6.99,
2024-02-14,Kien Giang,4.6,4.6,
2024-02-14,Soc Trang,5.86,5.86,
2024-02-15,Bac Lieu,6.76,6.76,
2024-02-15,Ben Tre,5.56,5.56,
2024-02-15,Ca Mau,7.03,7.03,
2024-02-15,Kien Giang,4.96,4.96,
2024-02-15,Soc Trang,5.97,5.97,
2024-02-16,Bac Lieu,6.77,6.77,
2024-02-16,Ben Tre,5.56,5.56,
2024-02-16,Ca Mau,7.47,7.47,
2024-02-16,Kien Giang,4.32,4.32,
2024-02-16,Soc Trang,5.69,5.69,
2024-02-17,Bac Lieu,5.8,5.8,
2024-02-17,Ben Tre,5.57,5.57,
2024-02-17,Ca Mau,7.16,7.16,
2024-02-17,Kien Giang,4.78,4.78,
2024-02-17,Soc Trang,5.86,5.86,
2024-02-18,Bac Lieu,6.65,6.65,
2024-02-18,Ben Tre,5.3,5.3,
2024-02-18,Ca Mau,7.47,7.47,
2024-02-18,Kien Giang,4.61,4.61,
2024-02-18,Soc Trang,5.57,5.57,
2024-02-19,Bac Lieu,6.55,6.55,
2024-02-19,Ben Tre,5.37,5.37,
2024-02-19,Ca Mau,7.08,7.08,
2024-02-19,Kien Giang,4.9,4.9,
2024-02-19,Soc Trang,5.43,5.43,
2024-02-20,Bac Lieu,6.73,6.73,
2024-02-20,Ben Tre,5.69,5.69,
2024-02-20,Ca Mau,6.86,6.86,
2024-02-20,Kien Giang,4.94,4.94,
2024-02-20,Soc Trang,5.89,5.89,
2024-02-21,Bac Lieu,6.21,6.21,
2024-02-21,Ben Tre,5.61,5.61,
2024-02-21,Ca Mau,7.38,7.38,
2024-02-21,Kien Giang,4.61,4.61,
2024-02-21,Soc Trang,5.86,5.86,
2024-02-22,Bac Lieu,6.93,6.93,
2024-02-22,Ben Tre,5.73,5.73,
2024-02-22,Ca Mau,7.4,7.4,
2024-02-22,Kien Giang,4.83,4.83,
2024-02-22,Soc Trang,5.59,5.59,
2024-02-23,Bac Lieu,6.41,6.41,
2024-02-23,Ben Tre,5.64,5.64,
2024-02-23,Ca Mau,7.02,7.02,
2024-02-23,Kien Giang,4.18,4.18,
2024-02-23,Soc Trang,6.17,6.17,
2024-02-24,Bac Lieu,6.28,6.28,
2024-02-24,Ben Tre,5.58,5.58,
2024-02-24,Ca Mau,7.17,7.17,
2024-02-24,Kien Giang,5.05,5.05,
2024-02-24,Soc Trang,5.79,5.79,
2024-02-25,Bac Lieu,6.73,6.73,
2024-02-25,Ben Tre,5.39,5.39,
2024-02-25,Ca Mau,6.88,6.88,
2024-02-25,Kien Giang,4.81,4.81,
2024-02-25,Soc Trang,5.68,5.68,
2024-02-26,Bac Lieu,6.22,6.22,
2024-02-26,Ben Tre,5.71,5.71,
2024-02-26,Ca Mau,7.38,7.38,
2024-02-26,Kien Giang,5.12,5.12,
2024-02-26,Soc Trang,5.91,5.91,
2024-02-27,Bac Lieu,6.42,6.42,
2024-02-27,Ben Tre,5.5,5.5,
2024-02-27,Ca Mau,7.18,7.18,
2024-02-27,Kien Giang,4.94,4.94,
2024-02-27,Soc Trang,5.83,5.83,
2024-02-28,Bac Lieu,6.38,6.38,
2024-02-28,Ben Tre,5.64,5.64,
2024-02-28,Ca Mau,7.24,7.24,
2024-02-28,Kien Giang,4.83,4.83,
2024-02-28,Soc Trang,5.91,5.91,
2024-02-29,Bac Lieu,6.52,6.52,
2024-02-29,Ben Tre,5.52,5.52,
2024-02-29,Ca Mau,7.25,7.25,
2024-02-29,Kien Giang,5.19,5.19,
2024-02-29,Soc Trang,5.84,5.84,
2024-03-01,Bac Lieu,6.33,6.33,
2024-03-01,Ben Tre,5.58,5.58,
2024-03-01,Ca Mau,7.36,7.36,
2024-03-01,Kien Giang,5.06,5.06,
2024-03-01,Soc Trang,6.04,6.04,
2024-03-02,Bac Lieu,6.62,6.62,
2024-03-02,Ben Tre,5.39,5.39,
2024-03-02,Ca Mau,7.14,7.14,
2024-03-02,Kien Giang,4.56,4.56,
2024-03-02,Soc Trang,5.9,5.9,
2024-03-03,Bac Lieu,6.85,6.85,
2024-03-03,Ben Tre,5.57,5.57,
2024-03-03,Ca Mau,6.78,6.78,
2024-03-03,Kien Giang,4.53,4.53,
2024-03-03,Soc Trang,5.89,5.89,
2024-03-04,Bac Lieu,6.26,6.26,
2024-03-04,Ben Tre,5.38,5.38,
2024-03-04,Ca Mau,7.01,7.01,
2024-03-04,Kien Giang,4.83,4.83,
2024-03-04,Soc Trang,6.01,6.01,
2024-03-05,Bac Lieu,6.11,6.11,
2024-03-05,Ben Tre,5.55,5.55,
2024-03-05,Ca Mau,6.92,6.92,
2024-03-05,Kien Giang,4.74,4.74,
2024-03-05,Soc Trang,6.01,6.01,
2024-03-06,Bac Lieu,6.27,6.27,
2024-03-06,Ben Tre,5.49,5.49,
2024-03-06,Ca Mau,7.08,7.08,
2024-03-06,Kien Giang,4.86,4.86,
2024-03-06,Soc Trang,5.75,5.75,
2024-03-07,Bac Lieu,6.3,6.3,
2024-03-07,Ben Tre,5.68,5.68,
2024-03-07,Ca Mau,7.2,7.2,
2024-03-07,Kien Giang,5.23,5.23,
2024-03-07,Soc Trang,5.42,5.42,
2024-03-08,Bac Lieu,5.99,5.99,
2024-03-08,Ben Tre,5.71,5.71,
2024-03-08,Ca Mau,7.6,7.6,
2024-03-08,Kien Giang,4.73,4.73,
2024-03-08,Soc Trang,5.65,5.65,
2024-03-09,Bac Lieu,6.5,6.5,
2024-03-09,Ben Tre,5.03,5.03,
2024-03-09,Ca Mau,6.85,6.85,
2024-03-09,Kien Giang,4.5,4.5,
2024-03-09,Soc Trang,5.49,5.49,
2024-03-10,Bac Lieu,6.68,6.68,
2024-03-10,Ben Tre,5.63,5.63,
2024-03-10,Ca Mau,7.14,7.14,
2024-03-10,Kien Giang,4.54,4.54,
2024-03-10,Soc Trang,5.99,5.99,
2024-03-11,Bac Lieu,6.15,6.15,
2024-03-11,Ben Tre,5.44,5.44,
2024-03-11,Ca Mau,7.06,7.06,
2024-03-11,Kien Giang,4.87,4.87,
2024-03-11,Soc Trang,5.62,5.62,
2024-03-12,Bac Lieu,6.44,6.44,
2024-03-12,Ben Tre,5.31,5.31,
2024-03-12,Ca Mau,6.91,6.91,
2024-03-12,Kien Giang,4.67,4.67,
2024-03-12,Soc Trang,5.93,5.93,
2024-03-13,Bac Lieu,6.01,6.01,
2024-03-13,Ben Tre,5.18,5.18,
2024-03-13,Ca Mau,6.7,6.7,
2024-03-13,Kien Giang,4.55,4.55,
2024-03-13,Soc Trang,5.56,5.56,
2024-03-14,Bac Lieu,6.5,6.5,
2024-03-14,Ben Tre,5.41,5.41,
2024-03-14,Ca Mau,7.21,7.21,
2024-03-14,Kien Giang,5.16,5.16,
2024-03-14,Soc Trang,5.99,5.99,
2024-03-15,Bac Lieu,6.48,6.48,
2024-03-15,Ben Tre,5.09,5.09,
2024-03-15,Ca Mau,6.79,6.79,
2024-03-15,Kien Giang,4.84,4.84,
2024-03-15,Soc Trang,5.51,5.51,
2024-03-16,Bac Lieu,5.85,5.85,
2024-03-16,Ben Tre,5.58,5.58,
2024-03-16,Ca Mau,6.81,6.81,
2024-03-16,Kien Giang,5.11,5.11,
2024-03-16,Soc Trang,5.56,5.56,
2024-03-17,Bac Lieu,6.54,6.54,
2024-03-17,Ben Tre,5.08,5.08,
2024-03-17,Ca Mau,7.18,7.18,
2024-03-17,Kien Giang,4.87,4.87,
2024-03-17,Soc Trang,5.12,5.12,
2024-03-18,Bac Lieu,6.38,6.38,
2024-03-18,Ben Tre,5.11,5.11,
2024-03-18,Ca Mau,7.08,7.08,
2024-03-18,Kien Giang,4.4,4.4,
2024-03-18,Soc Trang,5.91,5.91,
2024-03-19,Bac Lieu,6.06,6.06,
2024-03-19,Ben Tre,5.34,5.34,
2024-03-19,Ca Mau,6.42,6.42,
2024-03-19,Kien Giang,5.35,5.35,
2024-03-19,Soc Trang,6.07,6.07,
2024-03-20,Bac Lieu,6.6,6.6,
2024-03-20,Ben Tre,5.19,5.19,
2024-03-20,Ca Mau,6.94,6.94,
2024-03-20,Kien Giang,4.63,4.63,
2024-03-20,Soc Trang,5.76,5.76,
2024-03-21,Bac Lieu,5.94,5.94,
2024-03-21,Ben Tre,5.05,5.05,
2024-03-21,Ca Mau,6.66,6.66,
2024-03-21,Kien Giang,4.44,4.44,
2024-03-21,Soc Trang,5.24,5.24,
2024-03-22,Bac Lieu,5.8,5.8,
2024-03-22,Ben Tre,4.93,4.93,
2024-03-22,Ca Mau,6.9,6.9,
2024-03-22,Kien Giang,4.15,4.15,
2024-03-22,Soc Trang,5.48,5.48,
2024-03-23,Bac Lieu,6.18,6.18,
2024-03-23,Ben Tre,5.04,5.04,
2024-03-23,Ca Mau,6.55,6.55,
2024-03-23,Kien Giang,4.87,4.87,
2024-03-23,Soc Trang,5.63,5.63,
2024-03-24,Bac Lieu,6.17,6.17,
2024-03-24,Ben Tre,5.0,5.0,
2024-03-24,Ca Mau,6.6,6.6,
2024-03-24,Kien Giang,4.6,4.6,
2024-03-24,Soc Trang,5.22,5.22,
2024-03-25,Bac Lieu,5.77,5.77,
2024-03-25,Ben Tre,5.17,5.17,
2024-03-25,Ca Mau,6.77,6.77,
2024-03-25,Kien Giang,4.18,4.18,
2024-03-25,Soc Trang,5.18,5.18,
2024-03-26,Bac Lieu,5.98,5.98,
2024-03-26,Ben Tre,5.57,5.57,
2024-03-26,Ca Mau,6.6,6.6,
2024-03-26,Kien Giang,4.77,4.77,
2024-03-26,Soc Trang,5.37,5.37,
2024-03-27,Bac Lieu,6.08,6.08,
2024-03-27,Ben Tre,4.84,4.84,
2024-03-27,Ca Mau,6.71,6.71,
2024-03-27,Kien Giang,4.48,4.48,
2024-03-27,Soc Trang,5.27,5.27,
2024-03-28,Bac Lieu,6.33,6.33,
2024-03-28,Ben Tre,4.57,4.57,
2024-03-28,Ca Mau,6.48,6.48,
2024-03-28,Kien Giang,4.34,4.34,
2024-03-28,Soc Trang,5.24,5.24,
2024-03-29,Bac Lieu,5.9,5.9,
2024-03-29,Ben Tre,5.11,5.11,
2024-03-29,Ca Mau,6.76,6.76,
2024-03-29,Kien Giang,4.35,4.35,
2024-03-29,Soc Trang,5.55,5.55,
2024-03-30,Bac Lieu,6.11,6.11,
2024-03-30,Ben Tre,5.31,5.31,
2024-03-30,Ca Mau,6.24,6.24,
2024-03-30,Kien Giang,4.34,4.34,
2024-03-30,Soc Trang,5.34,5.34,
2024-03-31,Bac Lieu,5.84,5.84,
2024-03-31,Ben Tre,5.14,5.14,
2024-03-31,Ca Mau,5.98,5.98,
2024-03-31,Kien Giang,4.06,4.06,
2024-03-31,Soc Trang,5.08,5.08,
2024-04-01,Bac Lieu,5.97,5.97,
2024-04-01,Ben Tre,5.01,5.01,
2024-04-01,Ca Mau,6.25,6.25,
